Café Dépôt Boisbriand,Lavage extérieur,"9,00"
Café Dépôt Boisbriand,Lavage intérieur,"9,00"
Café Dépôt Boisbriand,Section Client,"4,00"
L’équipeur,Lavage extérieur,"450,00"
L’équipeur,Porte accordéon,"240,00"
Vie & Nam,Lavage extérieur,"20,00"
Vie & Nam,Section Client,"5,00"
Association De La Fibromyalgie Des Laurentides,Lavage extérieur,"20,00"
Poissonnerie et Restaurant Olynicks,Lavage intérieur,"15,00"
Poissonnerie et Restaurant Olynicks,Lavage extérieur,"15,00"
Poissonnerie et Restaurant Olynicks,Section Client,"10,00"
Blu! Gelato & Cie,Lavage extérieur,"15,00"
"FAYS, terroir chocolaté - Sainte-Thérèse",Lavage extérieur,"15,00"
Atelier mécanique Rosemère,Lavage de vitres mensuel,"70,00"
Auto Publique Mirabel,"Lavage intérieur, extérieur","112,00"
Auto Publique Mirabel,Driveray,"100,00"
CARQUEST Pièces d’Autos,Lavage de vitres mensuel,"25,00"
Casa Grecque,Lavage de vitres bi-mensuel,"110,00"
Centre Mécano-Pneus,Lavage de vitres mensuel,"60,00"
CNV Radio,Lavage de vitres mensuel,"35,00"
L'Éclaté Comptoir Santé,Lavage de vitres mensuel,"35,00"
Doré Pneus & Mécanique,Lavage de vitres mensuel,"100,00"
Garage E Labonté & Fille,Lavage de vitres bi-mensuel,"70,00"
Garage Auto Radio Contact,Lavage de vitres mensuel,"30,85"
Inédit du Nord (1),Lavage de vitres bi-mensuel,15
Inédit du Nord (2),Lavage de vitres mensuel,52
Le Black Forest,Lavage de vitres mensuel,75
Transmission A Lortie & Fils,Lavage de vitres mensuel,85
Meubles Lauren Matelas Lauren,Lavage de vitres mensuel,35
New Age Spa,Lavage de vitres mensuel,35
Pomme Frite Burger Gourmet,Lavage de vitres mensuel,55
Esso,Lavage de vitres mensuel,40
